"ID","地名","属性","形状","緯度","経度","緯度2","経度2","出典","出典詳細","備考"
1,"阿波",2,1,,,,,"旧5万分の1地形図","旧国名",
2,"安芸",2,1,,,,,"旧5万分の1地形図","旧国名",
3,"伊予",2,1,,,,,"旧5万分の1地形図","旧国名",
4,"壱岐",2,1,,,,,"旧5万分の1地形図","旧国名",
5,"因幡",2,1,,,,,"旧5万分の1地形図","旧国名",
6,"隠岐",2,1,,,,,"旧5万分の1地形図","旧国名",
7,"羽後",2,1,,,,,"旧5万分の1地形図","旧国名",
8,"羽前",2,1,,,,,"旧5万分の1地形図","旧国名",
9,"越後",2,1,,,,,"旧5万分の1地形図","旧国名",
10,"岩代",2,1,,,,,"旧5万分の1地形図","旧国名",
11,"釧路国",2,1,,,,,"旧5万分の1地形図","旧国名",
12,"後志国",2,1,,,,,"旧5万分の1地形図","旧国名",
13,"根室国",2,1,,,,,"旧5万分の1地形図","旧国名",
14,"佐渡",2,1,,,,,"旧5万分の1地形図","旧国名",
15,"薩摩",2,1,,,,,"旧5万分の1地形図","旧国名",
16,"讃岐",2,1,,,,,"旧5万分の1地形図","旧国名",
17,"周防",2,1,,,,,"旧5万分の1地形図","旧国名",
18,"十勝国",2,1,,,,,"旧5万分の1地形図","旧国名",
19,"出雲",2,1,,,,,"旧5万分の1地形図","旧国名",
20,"石見",2,1,,,,,"旧5万分の1地形図","旧国名",
21,"石狩国",2,1,,,,,"旧5万分の1地形図","旧国名",
22,"千島国（北",2,1,,,,,"旧5万分の1地形図","旧国名",
23,"対馬",2,1,,,,,"旧5万分の1地形図","旧国名",
24,"大隅",2,1,,,,,"旧5万分の1地形図","旧国名",
25,"筑後",2,1,,,,,"旧5万分の1地形図","旧国名",
26,"筑前",2,1,,,,,"旧5万分の1地形図","旧国名",
27,"長門",2,1,,,,,"旧5万分の1地形図","旧国名",
28,"天塩国",2,1,,,,,"旧5万分の1地形図","旧国名",
29,"渡島国",2,1,,,,,"旧5万分の1地形図","旧国名",
30,"土佐",2,1,,,,,"旧5万分の1地形図","旧国名",
31,"日向",2,1,,,,,"旧5万分の1地形図","旧国名",
32,"日高国",2,1,,,,,"旧5万分の1地形図","旧国名",
33,"伯耆",2,1,,,,,"旧5万分の1地形図","旧国名",
34,"磐城",2,1,,,,,"旧5万分の1地形図","旧国名",
35,"肥後",2,1,,,,,"旧5万分の1地形図","旧国名",
36,"肥前",2,1,,,,,"旧5万分の1地形図","旧国名",
37,"備後",2,1,,,,,"旧5万分の1地形図","旧国名",
38,"豊後",2,1,,,,,"旧5万分の1地形図","旧国名",
39,"豊前",2,1,,,,,"旧5万分の1地形図","旧国名",
40,"北見国",2,1,,,,,"旧5万分の1地形図","旧国名",
41,"陸奥",2,1,,,,,"旧5万分の1地形図","旧国名",
42,"陸前",2,1,,,,,"旧5万分の1地形図","旧国名",
43,"陸中",2,1,,,,,"旧5万分の1地形図","旧国名",
44,"膽振国",2,1,,,,,"旧5万分の1地形図","旧国名",
45,"愛知県",83,1,,,,,"旧5万分の1地形図","都道府県名",
46,"愛媛県",83,1,,,,,"旧5万分の1地形図","都道府県名",
47,"茨城県",83,1,,,,,"旧5万分の1地形図","都道府県名",
48,"岡山県",83,1,,,,,"旧5万分の1地形図","都道府県名",
49,"沖縄県",83,1,,,,,"旧5万分の1地形図","都道府県名",
50,"岩手県",83,1,,,,,"旧5万分の1地形図","都道府県名",
51,"岐阜県",83,1,,,,,"旧5万分の1地形図","都道府県名",
52,"宮崎県",83,1,,,,,"旧5万分の1地形図","都道府県名",
53,"宮城県",83,1,,,,,"旧5万分の1地形図","都道府県名",
54,"京都府",83,1,,,,,"旧5万分の1地形図","都道府県名",
55,"熊本県",83,1,,,,,"旧5万分の1地形図","都道府県名",
56,"群馬県",83,1,,,,,"旧5万分の1地形図","都道府県名",
57,"広島県",83,1,,,,,"旧5万分の1地形図","都道府県名",
58,"香川県",83,1,,,,,"旧5万分の1地形図","都道府県名",
59,"高知県",83,1,,,,,"旧5万分の1地形図","都道府県名",
60,"佐賀県",83,1,,,,,"旧5万分の1地形図","都道府県名",
61,"埼玉県",83,1,,,,,"旧5万分の1地形図","都道府県名",
62,"三重県",83,1,,,,,"旧5万分の1地形図","都道府県名",
63,"山形県",83,1,,,,,"旧5万分の1地形図","都道府県名",
64,"山口県",83,1,,,,,"旧5万分の1地形図","都道府県名",
65,"山梨県",83,1,,,,,"旧5万分の1地形図","都道府県名",
66,"滋賀県",83,1,,,,,"旧5万分の1地形図","都道府県名",
67,"鹿児島県",83,1,,,,,"旧5万分の1地形図","都道府県名",
68,"秋田県",83,1,,,,,"旧5万分の1地形図","都道府県名",
69,"新潟県",83,1,,,,,"旧5万分の1地形図","都道府県名",
70,"神奈川県",83,1,,,,,"旧5万分の1地形図","都道府県名",
71,"青森県",83,1,,,,,"旧5万分の1地形図","都道府県名",
72,"静岡県",83,1,,,,,"旧5万分の1地形図","都道府県名",
73,"石川県",83,1,,,,,"旧5万分の1地形図","都道府県名",
74,"千葉県",83,1,,,,,"旧5万分の1地形図","都道府県名",
75,"大阪府",83,1,,,,,"旧5万分の1地形図","都道府県名",
76,"大分県",83,1,,,,,"旧5万分の1地形図","都道府県名",
77,"長崎県",83,1,,,,,"旧5万分の1地形図","都道府県名",
78,"長野県",83,1,,,,,"旧5万分の1地形図","都道府県名",
79,"鳥取県",83,1,,,,,"旧5万分の1地形図","都道府県名",
80,"島根県",83,1,,,,,"旧5万分の1地形図","都道府県名",
81,"東京府",83,1,,,,,"旧5万分の1地形図","都道府県名",
82,"徳島県",83,1,,,,,"旧5万分の1地形図","都道府県名",
83,"栃木県",83,1,,,,,"旧5万分の1地形図","都道府県名",
84,"奈良県",83,1,,,,,"旧5万分の1地形図","都道府県名",
85,"富山県",83,1,,,,,"旧5万分の1地形図","都道府県名",
86,"福井県",83,1,,,,,"旧5万分の1地形図","都道府県名",
87,"福岡県",83,1,,,,,"旧5万分の1地形図","都道府県名",
88,"福島県",83,1,,,,,"旧5万分の1地形図","都道府県名",
