"ID","地名ID","地名","別名","種別","備考"
1,604,"阿賀郡","アガ","郡ヨミ",""
2,605,"阿寒郡","アカン","郡ヨミ",""
3,606,"阿山郡","アヤマ","郡ヨミ",""
4,607,"阿蘇郡","アソ","郡ヨミ",""
5,608,"阿波郡","アワ","郡ヨミ",""
6,609,"阿武郡","アム","郡ヨミ",""
7,610,"愛甲郡","アイコウ","郡ヨミ",""
8,611,"愛知郡","アイチ","郡ヨミ",""
9,611,"愛知郡","エチ","郡ヨミ",""
10,612,"愛宕郡","オタギ","郡ヨミ",""
11,613,"姶良郡","アイラ","郡ヨミ",""
12,614,"渥美郡","アツミ","郡ヨミ",""
13,615,"葦北郡","アシキタ","郡ヨミ",""
14,616,"虻田郡","アブタ","郡ヨミ",""
15,617,"綾歌郡","アヤウタ","郡ヨミ",""
16,618,"安芸郡","アキ","郡ヨミ",""
17,619,"安佐郡","アンサ","郡ヨミ",""
18,620,"安積郡","アサカ","郡ヨミ",""
19,621,"安蘇郡","アソ","郡ヨミ",""
20,622,"安達郡","アダチ","郡ヨミ",""
21,623,"安曇郡","アヅミ","郡ヨミ",""
22,624,"安濃郡","アノ","郡ヨミ",""
23,624,"安濃郡","アノウ","郡ヨミ",""
24,625,"安倍郡","アベ","郡ヨミ",""
25,626,"安八郡","アハチ","郡ヨミ",""
26,627,"安房郡","アワ","郡ヨミ",""
27,628,"庵原郡","イハラ","郡ヨミ",""
28,629,"鞍手郡","クラテ","郡ヨミ",""
29,630,"伊具郡","イグ","郡ヨミ",""
30,631,"伊香郡","イカ","郡ヨミ",""
31,632,"伊佐郡","イサ","郡ヨミ",""
32,633,"伊達郡","ダテ","郡ヨミ",""
33,634,"伊都郡","イト","郡ヨミ",""
34,635,"伊豆諸島","イズ","郡ヨミ",""
35,636,"伊奈郡","イナ","郡ヨミ",""
36,637,"伊予郡","イヨ","郡ヨミ",""
37,638,"夷隅郡","イスミ","郡ヨミ",""
38,639,"意宇郡","オウ","郡ヨミ",""
39,640,"磯城郡","シキ","郡ヨミ",""
40,641,"磯谷郡","イソヤ","郡ヨミ",""
41,642,"壱志郡","イチシ","郡ヨミ",""
42,643,"稲敷郡","イナシキ","郡ヨミ",""
43,644,"稲葉郡","イナバ","郡ヨミ",""
44,645,"茨城郡","イバラキ","郡ヨミ",""
45,646,"印南郡","インナン","郡ヨミ",""
46,647,"印旛郡","インバ","郡ヨミ",""
47,648,"員弁郡","イナベ","郡ヨミ",""
48,649,"引佐郡","イナサ","郡ヨミ",""
49,650,"宇佐郡","ウサ","郡ヨミ",""
50,651,"宇治郡","ウジ","郡ヨミ",""
51,652,"宇陀郡","ウダ","郡ヨミ",""
52,653,"宇智郡","ウチ","郡ヨミ",""
53,654,"宇土郡","ウド","郡ヨミ",""
54,655,"宇摩郡","ウマ","郡ヨミ",""
55,656,"羽咋郡","ハグイ","郡ヨミ",""
56,657,"羽島郡","ハシマ","郡ヨミ",""
57,658,"雨龍郡","ウリユウ","郡ヨミ",""
58,659,"碓氷郡","ウスイ","郡ヨミ",""
59,660,"臼杵郡","ウスキ","郡ヨミ",""
60,661,"浦河郡","ウラカワ","郡ヨミ",""
61,662,"荏原郡","エバラ","郡ヨミ",""
62,663,"英田郡","アイダ","郡ヨミ",""
63,664,"益城郡","マシキ","郡ヨミ",""
64,665,"益田郡","マスダ","郡ヨミ",""
65,666,"越智郡","オチ","郡ヨミ",""
66,667,"猿島郡","サシマ","郡ヨミ",""
67,668,"遠賀","オンガ","郡ヨミ",""
68,669,"遠賀郡","オガ","郡ヨミ",""
69,670,"遠田郡","トオダ","郡ヨミ",""
70,671,"遠敷郡","オニユウ","郡ヨミ",""
71,672,"塩谷郡","シオヤ","郡ヨミ",""
72,673,"奥尻郡","オコシリ","郡ヨミ",""
73,674,"牡鹿郡","オジカ","郡ヨミ",""
74,675,"乙訓郡","オトクニ","郡ヨミ",""
75,676,"温泉郡","オンセン","郡ヨミ",""
76,677,"穏地郡","オチ","郡ヨミ",""
77,678,"下京","シモキョウ","郡ヨミ",""
78,679,"下高井郡","シモタカイ","郡ヨミ",""
79,680,"下新川郡","シモニイカワ","郡ヨミ",""
80,681,"下谷区","シタヤク","郡ヨミ",""
81,682,"下道郡","カドウ","郡ヨミ",""
82,683,"下閉伊郡","シモヘイ","郡ヨミ",""
83,684,"下毛郡","シモゲ","郡ヨミ",""
84,685,"加賀郡","カガ","郡ヨミ",""
85,686,"加古郡","カコ","郡ヨミ",""
86,687,"加佐郡","カサ","郡ヨミ",""
87,688,"加美郡","カミ","郡ヨミ",""
88,689,"加茂郡","カモ","郡ヨミ",""
89,690,"可児郡","カニ","郡ヨミ",""
90,691,"嘉穂郡","カホ","郡ヨミ",""
91,692,"歌棄郡","ウタスツ","郡ヨミ",""
92,693,"河芸郡","カワゲ","郡ヨミ",""
93,694,"河沼郡","カワヌマ","郡ヨミ",""
94,695,"河西郡","カサイ","郡ヨミ",""
95,696,"河東郡","カトウ","郡ヨミ",""
96,697,"河内郡","カワチ","郡ヨミ",""
97,698,"河辺郡","カワベ","郡ヨミ",""
98,699,"河北郡","カホク","郡ヨミ",""
99,700,"花咲郡","ハナサキ","郡ヨミ",""
100,701,"賀茂郡","カモ","郡ヨミ",""
101,702,"賀陽郡","カヤ","郡ヨミ",""
102,703,"会津","アイツ","郡ヨミ",""
103,703,"会津","アイヅ","郡ヨミ",""
104,704,"海上郡","ウナカミ","郡ヨミ",""
105,705,"海草郡","カイソウ","郡ヨミ",""
106,706,"海津郡","カイヅ","郡ヨミ",""
107,707,"海部郡","アマ","郡ヨミ",""
108,707,"海部郡","アマベ","郡ヨミ",""
109,707,"海部郡","カイフ","郡ヨミ",""
110,708,"額田郡","ヌカダ","郡ヨミ",""
111,709,"葛野郡","カトノ","郡ヨミ",""
112,710,"樺戸郡","カバト","郡ヨミ",""
113,711,"蒲生郡","ガモウ","郡ヨミ",""
114,712,"鎌倉郡","カマクラ","郡ヨミ",""
115,713,"茅部郡","カヤベ","郡ヨミ",""
116,714,"刈羽郡","カリハ","郡ヨミ",""
117,715,"刈田郡","カツタ","郡ヨミ",""
118,716,"甘楽郡","カンラ","郡ヨミ",""
119,717,"肝属郡","キモツキ","郡ヨミ",""
120,718,"岩瀬郡","イワセ","郡ヨミ",""
121,719,"岩船郡","イワフネ","郡ヨミ",""
122,720,"岩内郡","イワナイ","郡ヨミ",""
123,721,"岩美郡","イワミ","郡ヨミ",""
124,722,"企救郡","キク","郡ヨミ",""
125,723,"喜多郡","キタ","郡ヨミ",""
126,724,"気高郡","ケダカ","郡ヨミ",""
127,725,"気仙郡","ケセン","郡ヨミ",""
128,726,"紀伊郡","キイ","郡ヨミ",""
129,727,"亀田郡","カメダ","郡ヨミ",""
130,728,"菊池郡","キクチ","郡ヨミ",""
131,729,"吉城郡","ヨシキ","郡ヨミ",""
132,730,"吉田郡","ヨシダ","郡ヨミ",""
133,731,"吉敷郡","ヨシキ","郡ヨミ",""
134,732,"吉野郡","ヨシノ","郡ヨミ",""
135,733,"橘樹郡","タチバナ","郡ヨミ",""
136,734,"杵島郡","キノシマ","郡ヨミ",""
137,735,"久遠郡","クドオ","郡ヨミ",""
138,736,"久慈郡","クジ","郡ヨミ",""
139,737,"久世郡","クゼ","郡ヨミ",""
140,738,"久米郡","クメ","郡ヨミ",""
141,739,"久良岐郡","クラギ","郡ヨミ",""
142,740,"宮古","ミヤコ","郡ヨミ",""
143,741,"宮崎郡","ミヤザキ","郡ヨミ",""
144,742,"宮城郡","ミヤギ","郡ヨミ",""
145,743,"球磨郡","クマ","郡ヨミ",""
146,744,"牛込区","ウシゴメ","郡ヨミ",""
147,745,"京橋区","キヨウバシ","郡ヨミ",""
148,746,"京都","キョウト","郡ヨミ",""
149,747,"京都郡","ミヤコ","郡ヨミ",""
150,748,"玉造郡","タマツクリ","郡ヨミ",""
151,749,"玉名郡","タマナ","郡ヨミ",""
152,750,"九戸郡","クノヘ","郡ヨミ",""
153,751,"玖珂郡","クガ","郡ヨミ",""
154,752,"玖珠郡","クス","郡ヨミ",""
155,753,"空知郡","ソラチ","郡ヨミ",""
156,754,"釧路郡","クシロ","郡ヨミ",""
157,755,"窪屋郡","クボヤ","郡ヨミ",""
158,756,"熊毛郡","クマケ","郡ヨミ",""
159,757,"熊野郡","クマノ","郡ヨミ",""
160,758,"栗原郡","クリハラ","郡ヨミ",""
161,759,"栗太郡","クリモト","郡ヨミ",""
162,760,"桑田郡","クワタ","郡ヨミ",""
163,761,"桑名郡","クワナ","郡ヨミ",""
164,762,"君津郡","キミツ","郡ヨミ",""
165,763,"群馬郡","グンマ","郡ヨミ",""
166,764,"郡上郡","グジョウ","郡ヨミ",""
167,765,"恵那郡","エナ","郡ヨミ",""
168,766,"結城郡","ユウキ","郡ヨミ",""
169,767,"犬上郡","イヌガミ","郡ヨミ",""
170,768,"古宇郡","フルウ","郡ヨミ",""
171,769,"古志郡","コシ","郡ヨミ",""
172,770,"古平郡","フルピラ","郡ヨミ",""
173,771,"五島","ゴトウ","郡ヨミ",""
174,772,"吾妻郡","アガツマ","郡ヨミ",""
175,773,"吾川郡","アガワ","郡ヨミ",""
176,774,"後月郡","シツキ","郡ヨミ",""
177,775,"御調郡","ミツギ","郡ヨミ",""
178,776,"御野郡","ミノ","郡ヨミ",""
179,777,"厚岸郡","アツケシ","郡ヨミ",""
180,778,"厚狭郡","アツサ","郡ヨミ",""
181,779,"厚田郡","アツタ","郡ヨミ",""
182,780,"広尾郡","ビロオ","郡ヨミ",""
183,781,"更級郡","サラシナ","郡ヨミ",""
184,782,"江刺郡","エサシ","郡ヨミ",""
185,783,"江沼郡","エヌマ","郡ヨミ",""
186,785,"甲賀郡","コウガ","郡ヨミ",""
187,786,"糠部郡","ヌカノブ","郡ヨミ",""
188,787,"行方郡","ナメカタ","郡ヨミ",""
189,788,"香取郡","カトリ","郡ヨミ",""
190,789,"香川郡","カガワ","郡ヨミ",""
191,790,"香美郡","カガミ","郡ヨミ",""
192,791,"高岡郡","タカオカ","郡ヨミ",""
193,792,"高座郡","コウザ","郡ヨミ",""
194,793,"高市郡","タカイチ","郡ヨミ",""
195,794,"高田郡","タカタ","郡ヨミ",""
196,795,"高島郡","タカシマ","郡ヨミ",""
197,796,"高来郡","タカク","郡ヨミ",""
198,797,"麹町区","コウジマチ","郡ヨミ",""
199,799,"国埼郡","クニサキ","郡ヨミ",""
